DISTRICT JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC
KINNAUR	102.1	107.8	113.9	77.4	69.4	37.1	75	81.3	70.8	35.4	17.5	48.7
KULLU	86.9	97	135.2	79.5	72.1	82.4	184.8	165.9	86.6	32	23.4	42.3
LAHUL-SPITI	132.8	137.1	176.6	108.9	91.7	52.4	164.5	139.9	101.4	52.2	29.6	61.7
SHIMLA	69.1	70.3	80	48.3	65	104.7	226.9	189	113.3	32.6	13.9	28.3
UNA	46.3	45.1	40.9	17.2	26.8	67.6	340	310.3	144.8	32.1	15.5	24.1
MANDI	71.1	67.5	81.7	48.3	64.3	160.1	411.2	370.1	152	34.4	15.3	30.9
BILASPUR	62.5	66.8	54	26.1	41.1	107.4	311.8	304.2	153.6	27	14	28.7
HAMIRPUR	73	61.4	59.1	27.1	42.7	143.3	384.8	391.2	159.6	41.1	13.9	31
SOLAN	71.7	66.1	62.6	27.9	48.8	130.3	368.4	331.8	169.6	44.1	12.9	32
SIRMAUR	58.4	53.3	42.4	20.4	31.9	140.9	508	485.6	190.1	44	9.2	34.1
CHAMBA	126.2	112.8	120.3	51.2	53.4	132.4	567.3	479.2	227.5	48.7	21.9	56.2
KANGRA	83	80.2	84.9	39.9	45.1	145.6	583.2	619.4	233.9	48.1	15.8	40.7
